file_name,class
t_000,0.0
t_001,0.0
t_002,0.0
t_003,0.0
t_004,0.0
t_005,0.0
t_006,0.0
t_007,0.0
t_008,0.0
t_009,0.0
t_010,0.0
t_011,0.0
t_012,0.0
t_013,0.0
t_014,0.0
t_015,0.0
t_016,0.0
t_017,0.0
t_018,0.0
t_019,0.0
t_020,0.0
t_021,0.0
t_022,0.0
t_023,0.0
t_024,0.0
t_025,0.0
t_026,0.0
t_027,0.0
t_028,0.0
t_029,0.0
t_030,0.0
t_031,0.0
t_032,0.0
t_033,0.0
t_034,0.0
t_035,0.0
t_036,0.0
t_037,0.0
t_038,0.0
t_039,0.0
t_040,0.0
t_041,0.0
t_042,0.0
t_043,0.0
t_044,0.0
t_045,0.0
t_046,0.0
t_047,0.0
t_048,0.0
t_049,0.0
t_050,0.0
t_051,0.0
t_052,0.0
t_053,0.0
t_054,0.0
t_055,0.0
t_056,0.0
t_057,0.0
t_058,0.0
t_059,0.0
t_060,0.0
t_061,0.0
t_062,0.0
t_063,0.0
t_064,0.0
t_065,0.0
t_066,0.0
t_067,0.0
t_068,0.0
t_069,0.0
t_070,0.0
t_071,0.0
t_072,0.0
t_073,0.0
t_074,0.0
t_075,0.0
t_076,0.0
t_077,0.0
t_078,0.0
t_079,0.0
t_080,0.0
t_081,0.0
t_082,0.0
t_083,0.0
t_084,0.0
t_085,0.0
t_086,0.0
t_087,0.0
t_088,0.0
t_089,0.0
t_090,0.0
t_091,0.0
t_092,0.0
t_093,0.0
t_094,0.0
t_095,0.0
t_096,0.0
t_097,0.0
t_098,0.0
t_099,0.0
t_100,0.0
t_101,0.0
t_102,0.0
t_103,0.0
t_104,0.0
t_105,0.0
t_106,0.0
t_107,0.0
t_108,0.0
t_109,0.0
t_110,0.0
t_111,0.0
t_112,0.0
t_113,0.0
t_114,0.0
t_115,0.0
t_116,0.0
t_117,0.0
t_118,0.0
t_119,0.0
t_120,0.0
t_121,0.0
t_122,0.0
t_123,0.0
t_124,0.0
t_125,0.0
t_126,0.0
t_127,0.0
t_128,0.0
t_129,0.0
t_130,0.0
t_131,0.0
t_132,0.0
t_133,0.0
t_134,0.0
t_135,0.0
t_136,0.0
t_137,0.0
t_138,0.0
t_139,0.0
t_140,0.0
t_141,0.0
t_142,0.0
t_143,0.0
t_144,0.0
t_145,0.0
t_146,0.0
t_147,0.0
t_148,0.0
t_149,0.0
t_150,0.0
t_151,0.0
t_152,0.0
t_153,0.0
t_154,0.0
t_155,0.0
t_156,0.0
t_157,0.0
t_158,0.0
t_159,0.0
t_160,0.0
t_161,0.0
t_162,0.0
t_163,0.0
t_164,0.0
t_165,0.0
t_166,0.0
t_167,0.0
t_168,0.0
t_169,0.0
t_170,0.0
t_171,0.0
t_172,0.0
t_173,0.0
t_174,0.0
t_175,0.0
t_176,0.0
t_177,0.0
t_178,0.0
t_179,0.0
t_180,0.0
t_181,0.0
t_182,0.0
t_183,0.0
t_184,0.0
t_185,0.0
t_186,0.0
t_187,0.0
t_188,0.0
t_189,0.0
t_190,0.0
t_191,0.0
t_192,0.0
t_193,0.0
t_194,0.0
t_195,0.0
t_196,0.0
t_197,0.0
t_198,0.0
t_199,0.0
t_200,0.0
t_201,0.0
t_202,0.0
t_203,0.0
t_204,0.0
t_205,0.0
t_206,0.0
t_207,0.0
t_208,0.0
t_209,0.0
t_210,0.0
t_211,0.0
t_212,0.0
t_213,0.0
t_214,0.0
t_215,0.0
t_216,0.0
t_217,0.0
t_218,0.0
t_219,0.0
t_220,0.0
t_221,0.0
t_222,0.0
t_223,0.0
t_224,0.0
t_225,0.0
t_226,0.0
t_227,0.0
t_228,0.0
t_229,0.0
t_230,0.0
t_231,0.0
t_232,0.0
t_233,0.0
t_234,0.0
t_235,0.0
t_236,0.0
t_237,0.0
t_238,0.0
t_239,0.0
t_240,0.0
t_241,0.0
t_242,0.0
t_243,0.0
t_244,0.0
t_245,0.0
t_246,0.0
t_247,0.0
t_248,0.0
t_249,0.0
t_250,0.0
t_251,0.0
t_252,0.0
t_253,0.0
t_254,0.0
t_255,0.0
t_256,0.0
t_257,0.0
t_258,0.0
t_259,0.0
t_260,0.0
t_261,0.0
t_262,0.0
t_263,0.0
t_264,0.0
t_265,0.0
t_266,0.0
t_267,0.0
t_268,0.0
t_269,0.0
t_270,0.0
t_271,0.0
t_272,0.0
t_273,0.0
t_274,0.0
